connection,attention,meditation,delta, theta, low alpha, high alpha, low beta, high beta, low gamma, high gamma, id
26,56,70,953052,26679,12421,26216,10069,7157,11578,4599,1
26,56,70,568319,25927,4371,23688,5225,41847,1907,1761,1
26,56,70,105920,20852,12662,21359,4086,39119,3732,1075,1
0,51,77,1164934,230037,63367,162260,8696,132411,21000,8110,1
0,35,70,795566,566049,68730,138351,18990,79410,28624,9296,1
26,35,70,185182,48580,9058,36571,8582,51181,1600,1941,1
26,35,70,252054,53926,9600,37427,1985,64264,2647,3254,1
26,35,70,1996287,157213,52040,107515,20723,58259,58768,5662,1
0,20,80,866618,149663,94878,86381,11198,35384,53795,13187,1
26,20,80,113077,105384,4288,32832,1322,62060,5669,1006,1
26,20,80,14783,35850,2150,7460,913,11865,420,315,1
26,20,80,144934,15533,850,42718,3405,21256,1028,3204,1
0,16,83,805975,153925,62871,98781,9315,64120,32604,4300,1
26,16,83,726917,11993,27815,22156,14031,19667,2250,3801,1
26,16,83,1811211,296371,48503,205836,26135,149455,6612,6788,1
26,16,83,228900,31606,14531,27799,9673,49951,1202,855,1
0,27,80,3526085,111814,54994,273943,44165,501735,31957,20392,1
26,27,80,405584,10851,14924,45050,4052,8690,6759,2412,1
0,43,69,1384382,61655,10403,13724,76125,50166,5133,2890,1
26,43,69,108631,9227,1181,2808,7681,9095,630,797,1
0,40,50,1653053,456647,25533,78948,6625,44474,23442,4360,1
26,40,50,257363,8844,7666,37627,2081,19942,1843,1162,1
0,27,54,563447,31593,6573,40149,8117,3901,12153,338,1
26,27,54,404599,129194,8292,8834,8609,41448,1527,1077,1
0,17,50,103675,72739,6063,30115,1443,39040,1281,1715,1
0,11,74,1995239,56682,47282,73717,19314,56732,18880,5715,1
0,17,97,155437,7860,6937,22264,3616,5936,14063,427,1
0,44,70,855297,279830,34232,71113,178198,456601,36975,11043,1
0,50,64,129599,55120,2742,15533,1345,47781,978,845,1
26,50,64,560096,24279,4913,17082,12278,43562,714,697,1
26,50,64,189324,17874,1213,3019,2342,4150,1287,618,1
0,47,44,174463,135061,9515,19013,3291,31841,1197,1502,1
0,48,35,70458,53075,12384,44003,3058,23760,1302,834,1
0,43,48,172338,31434,4827,23437,2757,34894,588,552,1
26,43,48,586128,23954,16809,7074,2941,12503,3293,1142,1
0,29,64,2083846,480512,153370,263893,6267,128322,59519,10011,1
26,29,64,135373,38225,12031,32426,4560,37814,1174,870,1
0,41,67,566538,202819,8111,79985,4899,205935,7807,2997,1
26,41,67,161462,1002,1706,2993,1520,7167,737,738,1
0,40,63,296257,49004,4158,32585,6056,15721,4559,1227,1
0,27,74,276261,35351,12281,32474,4146,11750,7878,1498,1
26,27,74,309728,21706,8947,14622,3070,37289,1208,1022,1
26,27,74,22453,7169,442,7137,1555,7375,144,307,1
0,38,70,77202,24003,5556,24474,3326,25692,994,888,1
26,38,70,750568,5650,10140,17302,5818,7505,9065,439,1
26,38,70,1226152,207594,47343,114220,28214,67374,19201,4716,1
0,37,70,58220,57701,4228,19053,3861,45382,919,603,1
26,37,70,165386,10627,4442,6247,357,7655,171,316,1
0,40,83,201035,9512,7938,23069,2953,12264,6911,1911,1
0,41,70,2068922,160658,6919,60130,17598,34949,23707,6807,1
0,44,69,228226,20903,11601,19915,4455,37797,999,710,1
0,53,69,114414,10218,8113,7032,20321,38264,1471,1164,1
26,53,69,244663,89300,9224,25543,2699,18543,1553,598,1
0,53,53,269928,58418,13885,13494,1911,23514,3440,439,1
0,66,63,559631,56567,26652,106641,5202,143532,9853,5563,1
0,67,51,167565,28701,3775,12590,5614,46227,1329,1211,1
0,50,67,1646666,142586,107018,57319,20340,51861,27973,2512,1
26,50,67,163932,25921,10726,19499,1787,21149,1185,790,1
26,50,67,223472,8160,5591,24969,3992,38061,1933,782,1
26,50,67,5434,9115,604,3833,1018,7930,158,176,1
0,54,75,256358,24432,20566,19190,7687,32246,3032,2019,1
0,53,70,823020,34486,39212,49309,47966,83532,17229,3013,1
0,56,60,449949,280735,29978,51331,175141,521055,40892,9700,1
0,66,41,264951,56616,4281,15330,5856,44335,1754,710,1
26,66,41,396473,39167,17442,16989,1363,37361,1572,990,1
0,53,48,493162,107167,51258,107277,8167,29425,35072,3622,1
0,54,51,315944,65504,28532,121784,9728,184540,5969,2743,1
26,54,51,183317,59928,1173,15398,6971,51865,1391,696,1
26,54,51,180347,2422,2082,7697,474,6305,81,405,1
0,44,77,150095,26935,18040,16788,1262,26602,1321,621,1
26,44,77,368616,33258,21319,14607,4919,23915,1733,1206,1
0,47,94,2257845,150062,57044,616032,17454,578111,38249,28895,1
26,47,94,18276,4016,1125,2919,4251,8836,253,248,1
26,47,94,79750,4425,1089,5652,1177,5528,1360,637,1
0,47,84,1122550,111720,1949,78201,33710,19138,70568,3362,1
0,41,81,369481,174685,21584,127813,16737,159066,6864,1918,1
0,43,66,130132,84281,7480,17420,4948,48995,2059,847,1
26,43,66,534079,23247,11449,11554,8668,27483,2603,494,1
0,40,69,2176684,53995,64265,354017,21019,248488,85693,7008,1
0,50,84,339728,38394,38752,124679,7805,60212,16977,3136,1
26,50,84,365211,49101,7798,13856,3861,35541,499,713,1
26,50,84,76394,8982,1732,3755,635,9199,301,440,1
0,34,90,556083,174162,39434,97253,21225,23242,37798,2063,1
0,38,100,539737,21399,5808,84661,5865,90730,1754,4537,1
26,38,100,83438,85930,6550,27927,3465,42607,2182,1511,1
0,34,83,183039,127619,7496,22401,2189,46122,2068,957,1
0,35,60,210070,76450,9222,17053,1839,34601,1151,1181,1
0,41,69,142375,16901,14436,27296,4573,8254,8708,1383,1
0,14,60,1123063,1375594,57493,408074,55424,73062,152010,20246,1
0,21,74,720977,69063,32991,95666,21563,127901,5078,5848,1
26,21,74,114751,11162,403,3358,1258,8790,919,408,1
0,20,78,1364406,103001,23666,48731,60010,51807,24635,2742,1
0,35,41,23658,15236,1004,1717,6103,17616,1089,567,1
0,61,40,2365860,434714,89962,253828,39310,644333,23182,13601,1
0,57,23,269550,74336,4435,13963,5364,39548,2581,1076,1
0,63,30,237683,25630,21283,18180,2897,30572,501,1340,1
0,57,51,627920,124362,33944,72240,7147,139843,11156,2427,1
26,57,51,521122,12795,8467,6635,20617,19493,2782,1338,1
26,57,51,286386,13950,3534,23402,6950,34725,2231,1018,1
26,57,51,114874,5878,1574,4490,2042,6180,1532,431,1
0,47,54,978899,213731,35873,67585,1392,64533,3006,2142,1
0,53,43,14695,15005,620,1477,3609,16852,1400,259,1
0,66,26,1076776,135926,82097,46194,120093,533741,16379,5968,1
0,56,21,54423,80859,8073,14542,1917,20582,4434,2112,1
26,56,21,1302634,53155,15218,17015,3843,18017,3561,1201,1
0,51,26,2251250,399544,10529,315503,147660,86809,207458,15135,1
0,44,56,1035261,42748,20054,75300,12240,54142,32671,4687,1
0,30,66,609702,175749,20095,97234,17659,141954,7925,3593,1
0,44,80,429010,49884,11426,107822,2169,143685,13223,4605,1
26,44,80,668430,37616,17230,16938,2777,20621,1999,736,1
0,38,67,1965875,295007,8296,51700,6954,22480,57026,3916,1
26,38,67,500640,57061,4382,20652,5237,9437,2398,640,1
0,43,51,64963,51194,1355,17523,1509,45024,2408,552,1
0,23,44,661491,709272,44328,104487,7309,50920,8601,3309,1
0,13,44,1820573,421491,78691,376214,47121,220635,98960,16530,1
0,14,57,2064260,164077,58517,70767,31131,21136,51018,2540,1
0,8,63,131691,54899,7071,18391,3012,19869,13696,1156,1
26,8,63,222819,9503,4642,4593,3403,10312,7625,1439,1
26,8,63,1061823,23793,7108,9941,40716,18151,6260,1760,1
0,17,74,221108,37993,14037,13554,4093,13291,7307,1129,1
0,11,70,2576164,143843,26078,88959,55997,28927,43945,8370,1
26,11,70,444969,4504,11714,15341,1995,48678,1096,552,1
0,21,69,1920349,436123,17937,319698,22081,207815,88920,10150,1
0,21,84,2047040,44825,29784,105460,35018,40969,38848,2432,1
0,27,81,1103811,257595,40561,102024,5697,160040,8731,3104,1
0,40,67,120666,71543,1124,19593,3741,36764,1399,535,1
26,40,67,468910,20285,4091,15406,6929,35120,1218,912,1
26,40,67,329898,100300,3829,35747,13553,6223,5358,415,1
26,40,67,710678,79008,4504,17379,4718,22570,1125,732,1
0,50,67,1259526,46042,19060,74075,13953,141827,7051,4128,1
0,66,53,379609,24623,20729,55816,6326,189914,2190,5160,1
0,57,53,877429,317586,29722,109088,5797,54151,18851,3301,1
0,67,60,26771,4304,4681,2304,3764,14684,1093,202,1
0,75,50,85467,21169,20670,15378,43822,110086,8413,3017,1
26,75,50,228878,52873,5405,7065,25139,44352,1155,1241,1
26,75,50,435440,41471,38038,21605,2340,28919,558,554,1
26,75,50,152060,5176,661,6484,1256,6476,883,351,1
0,51,60,932550,80331,66650,36396,20517,22939,27815,3106,1
26,51,60,331196,52207,14107,17977,5370,39920,1100,1302,1
26,51,60,149456,3905,3141,4213,1867,3971,2444,415,1
26,51,60,631760,17432,7913,20083,7825,11519,2878,1675,1
26,51,60,2005529,121142,5255,55987,13710,44130,38727,4778,1
0,41,50,1129447,617650,22111,96552,31919,31734,55445,3110,1
0,34,44,94417,72984,597,22890,3248,43515,2602,910,1
0,26,54,370661,60910,15869,95077,5691,157239,5671,3833,1
0,20,47,651189,209876,20652,73447,6435,19352,46703,2780,1
0,29,61,1706928,224653,86487,96128,16186,57522,31216,4843,1
0,10,70,1003695,299011,42220,108379,33964,20279,34071,4373,1
26,10,70,149578,3699,2920,2000,2399,7532,2197,693,1
26,10,70,300170,69148,3066,32466,4493,22450,2810,1212,1
0,1,84,65001,8910,4876,24348,1001,11877,2965,2098,1
0,11,78,594570,402534,22328,106991,9648,123424,2331,4145,1
0,17,61,10210,24832,478,5520,919,9767,425,197,1
26,17,61,44884,29227,1056,1515,2136,3678,1301,194,1
0,30,78,100519,7841,17117,20976,2839,10584,7880,2015,1
0,40,67,354561,82343,40859,114468,5832,173587,5240,3664,1
0,54,67,356067,20648,3741,15006,5096,50364,1187,571,1
26,54,67,161904,2556,1272,6910,743,8759,244,264,1
26,54,67,253940,26191,4372,18730,9740,19334,1636,760,1
0,60,84,81710,14645,4736,19849,8747,21282,725,1231,1
0,64,67,68029,22945,7443,15020,4072,19388,1071,546,1
0,61,48,168213,115257,7849,10055,6923,57601,3106,456,1
26,61,48,58026,8872,2100,5928,3568,4684,1175,450,1
0,44,64,546369,76586,14454,128568,14757,45262,34002,3918,1
26,44,64,176471,29278,8623,31089,7842,46774,1337,546,1
0,43,48,175470,82540,7300,15032,4138,48205,1954,716,1
26,43,48,113165,2274,2454,6373,1574,8612,140,210,1
0,50,48,196067,17169,15261,11092,3567,33553,1465,480,1
0,37,66,2265403,237068,9624,126152,17786,38493,28610,5002,1
0,48,61,580848,62254,8634,126388,4056,156112,10713,4788,1
26,48,61,30381,6196,2383,3333,2802,10386,711,285,1
0,56,67,187037,14064,10536,4742,15640,31256,1115,914,1
0,38,70,1533355,711003,194893,387999,41164,134547,59676,15332,1
0,53,67,3186792,591420,136797,376248,56568,669580,19773,11878,1
0,50,54,130239,54479,2292,16621,900,36522,1321,694,1
0,47,69,172751,9348,5394,27592,2769,32334,1013,1143,1
0,56,74,200989,17620,2051,30649,1262,17350,7517,881,1
0,61,70,2814960,261056,164918,188010,51877,719799,86726,22162,1
26,61,70,220883,16748,1060,8389,1195,8982,2508,529,1
26,61,70,122600,14746,1029,5852,1543,8401,1337,1173,1
26,61,70,429426,78586,4362,20984,2590,22950,1077,953,1
0,57,81,1454404,440488,150045,296967,144662,283147,121990,19109,1
26,57,81,1444635,379275,34266,80926,80982,27378,58550,2367,1
0,41,66,635767,589053,40323,109166,35706,74722,14135,8527,1
0,30,64,2540744,439201,123737,358199,100085,109099,95898,14757,1
26,30,64,164389,51453,10373,14498,13052,13903,7339,645,1
26,30,64,913101,58499,8453,26698,10634,4988,3433,1286,1
0,21,75,3100332,373218,255933,365201,57944,362945,80890,25129,1
0,23,75,333929,60961,6136,44810,927,37964,1084,1811,1
0,30,96,49356,18280,8062,64742,2772,30260,1704,1639,1
0,35,100,464623,100290,32156,105300,6878,35832,37087,4162,1
26,35,100,272409,36149,3222,13692,3026,15460,7325,724,1
26,35,100,138758,59955,14485,32875,3447,32126,1293,1348,1
26,35,100,980186,133856,24897,128126,34182,76108,14917,9594,1
0,21,87,997405,467852,45551,99390,15183,57339,57875,5669,1
26,21,87,276428,68126,6482,9169,6440,57248,6054,849,1
0,34,80,186353,15245,3592,15819,4979,47107,2309,949,1
0,35,64,281629,25027,3918,16437,2983,17385,2609,903,1
0,43,60,842108,33575,17032,44482,33017,36682,42940,4231,1
0,64,67,926054,39910,18998,71663,11843,138789,6859,3759,1
0,56,64,128357,71448,4298,21515,1587,48212,879,1125,1
26,56,64,741853,60965,9266,12589,3498,29034,2216,1180,1
0,47,64,41784,57499,15222,16927,11404,9608,8187,612,1
0,37,61,545302,223401,66905,70527,15583,43219,15088,3051,1
26,37,61,345813,50626,8659,18388,4897,7728,10070,688,1
0,29,63,1585662,362067,98733,420337,66816,453618,12609,11844,1
26,29,63,897483,127315,10241,28577,33057,60065,15197,2381,1
0,7,70,735356,1459956,128930,508741,89349,61129,92862,30047,1
26,7,70,297924,78060,21521,12922,2089,47235,2249,966,1
26,7,70,326819,117537,15607,16877,2041,38136,2522,1007,1
0,16,83,688614,32528,11846,107000,21637,44735,14361,6913,1
0,29,88,844311,223110,236511,284758,139557,346934,75721,78058,1
0,16,93,1000384,266755,178779,93964,16310,42678,30412,10951,1
26,16,93,347761,35808,20418,8368,6251,47062,1426,2270,1
0,27,87,453747,142456,9816,46400,93672,23069,32279,5096,1
0,20,64,110707,338730,8003,66185,4851,46028,32389,2554,1
0,20,54,58098,26726,5577,9602,2053,19546,2489,723,1
0,35,43,2090707,227764,1883,118631,14285,143727,10607,5621,1
0,38,51,62560,72075,5786,32004,2619,19872,1768,1447,1
26,38,51,406684,14004,6166,11884,4246,11788,4401,817,1
0,47,51,193280,74614,6177,16574,4698,31305,870,337,1
0,48,56,1174092,117741,27773,108470,9887,152248,12977,5001,1
26,48,56,562634,33739,5906,16282,4587,34056,1016,1262,1
0,35,77,892819,277884,204048,730754,37230,103832,167144,14500,1
0,44,77,93225,15125,10716,12310,7355,21121,1993,1388,1
0,40,84,1224802,153323,56314,58519,18553,57339,20160,2338,1
0,41,74,407490,158644,6614,66111,31770,170719,7160,5096,1
26,41,74,97047,11965,8526,21145,17226,12229,3687,827,1
0,41,53,35631,86483,17472,22074,3377,11997,11518,917,1
0,41,51,309694,156842,27119,146151,9831,164933,10078,3467,1
0,48,47,1401933,101232,43452,37089,32827,94974,39446,3851,1
26,48,47,97172,3421,1312,3158,1304,2607,1477,259,1
26,48,47,648139,11283,2509,12506,21759,24719,3025,1047,1
26,48,47,136712,18439,4199,24877,5374,40321,1152,738,1
26,48,47,550562,4724,3618,8618,1905,39276,2226,1025,1
0,50,51,1667167,89151,29890,43211,20528,125456,3025,2824,1
0,56,48,320862,57242,3737,20213,4903,16590,5376,1534,1
0,44,60,602769,57122,43386,88121,39182,17822,25289,4608,1
0,34,61,740694,263314,6495,161354,46869,57766,48668,5785,1
0,16,67,679129,214269,10002,126049,28507,33940,12117,12544,1
0,16,77,696837,498862,156009,365160,49668,238300,135578,49058,1
0,23,77,1027117,31199,58966,43449,12881,31495,48655,12132,1
0,21,90,910271,79212,98728,119424,32295,29622,26962,14443,1
0,13,87,764211,423472,68148,112385,19695,22594,35232,4928,1
0,16,80,764369,30895,4762,11915,2241,18160,3778,1545,1
0,7,64,1343708,265602,58197,44175,31523,20646,26225,8164,1
0,4,48,155002,43599,7160,9244,8526,4936,8703,1261,1
0,24,54,1105390,365976,50756,477764,37321,413447,41244,15734,1
26,24,54,806582,32121,14353,11492,4761,39776,1475,836,1
0,23,57,2742056,590610,109713,504529,70745,406523,33356,25434,1
26,23,57,708619,6270,4818,11996,5638,12334,3104,945,1
26,23,57,323469,22254,6867,4141,7966,18245,1925,945,1
0,38,64,279364,15647,6463,12015,6619,13599,8616,1214,1
0,51,61,600278,159031,9924,55317,8813,78392,14344,4992,1
0,41,54,226545,25184,4250,10187,8005,5789,14135,1053,1
0,30,54,290329,286877,12373,152372,30931,39613,19061,3729,1
0,27,54,1874470,262306,74901,211521,53986,154115,52083,25075,1
26,27,54,298507,19682,992,4907,12259,33972,1056,723,1
26,27,54,1195528,104821,9821,51099,34568,41444,21438,4369,1
0,35,63,96297,10981,8847,10082,3009,24488,1135,914,1
0,44,57,2040716,514853,30500,225757,127741,356754,45502,9777,1
0,57,44,131289,64076,15138,2595,15576,37608,2048,465,1
0,51,51,538845,266480,115128,371730,51274,84565,161622,24127,1
26,51,51,374903,36382,12770,8010,10326,22327,527,587,1
0,38,50,765073,181166,21854,82940,30365,45076,30495,3551,1
26,38,50,221927,18037,555,15780,3474,32076,815,584,1
0,43,51,150139,14730,4579,10638,6496,25050,977,905,1
0,29,66,339795,151991,47500,63649,27655,30450,22127,3152,1
0,34,60,732545,284313,24820,235202,57924,83043,66622,18388,1
0,50,53,2403939,244803,28365,156515,42509,549239,32080,13245,1
0,37,57,1849198,643811,194784,259463,26302,211132,88454,17563,1
0,44,61,248011,13326,6245,12669,3179,10176,4220,1207,1
0,57,63,68316,6311,16676,10948,1484,27406,1354,1114,1
0,47,78,878221,50951,5745,72816,10149,35541,33709,2277,1
0,48,84,451590,44465,13053,82916,26596,30009,18631,2611,1
0,47,81,1698704,104666,15012,93506,49177,53993,23072,6274,1
0,40,87,2496660,29049,49237,49496,14610,42681,24952,1690,1
0,43,88,109669,12581,17488,19527,4268,25343,1763,754,1
0,57,77,1640734,205321,5363,289267,63929,636556,16096,14899,1
0,64,66,81584,41738,3894,14649,3108,36939,1376,584,1
0,60,63,1913640,92367,50849,68714,18588,33628,34864,6533,1
26,60,63,112538,1845,1158,3129,2679,5405,299,243,1
0,69,48,910349,96321,69458,80045,92312,458993,30108,16865,1
0,63,56,938481,7765,4371,11093,7533,10833,4581,470,1
0,53,61,574801,286587,15520,120880,11676,66520,14247,3323,1
0,61,50,622314,196828,15278,80846,2897,136857,4156,2481,1
26,61,50,285143,10930,6918,11681,6483,24818,833,835,1
0,61,48,579204,37581,17988,25650,21398,133526,2657,2049,1
0,69,34,93245,15611,3182,6236,13425,34339,1734,545,1
0,84,37,404111,22299,5428,83331,4791,129068,6249,6016,1
0,88,47,1704443,117882,26451,354934,14237,369627,20056,22639,1
0,75,56,650048,98107,81887,21085,20387,73423,4882,3414,1
0,66,61,1368924,193435,28420,61225,16365,138154,9137,3240,1
26,66,61,83208,2715,1480,907,2697,8310,592,152,1
0,57,54,97196,53713,8082,17468,4318,29764,842,734,1
0,40,50,1512311,145777,12328,58300,12205,17747,17622,4026,1
0,43,50,560600,68532,11355,75676,6792,83641,6550,4112,1
0,51,54,364951,10739,4397,12868,2224,34641,303,860,1
0,54,57,531459,77184,7515,70914,5365,104649,11168,3940,1
0,74,51,144115,25628,1157,13061,5158,26950,1518,1276,1
0,74,50,236239,23195,5619,22884,4587,29948,784,930,1
0,63,50,2115220,243612,23098,112765,9695,123974,3811,4544,1
0,57,48,537183,94600,18324,41455,22867,49385,13763,4569,1
0,56,47,184216,41021,8646,7768,16192,38489,1675,810,1
0,56,34,1218213,124761,15415,21291,25960,95231,6723,9691,1
0,56,30,1076887,219385,39126,82139,12116,121751,6468,2246,1
0,51,47,1565926,77001,55868,139102,23168,46042,30910,4391,1
0,50,61,161643,18535,16552,19171,1980,28371,1589,1067,1
26,50,61,598321,15853,5216,12214,3599,14872,3998,2002,1
26,50,61,29380,13307,434,6304,1175,9491,264,334,1
0,51,74,1458276,50404,20679,39610,10643,75921,8852,1914,1
0,51,70,128320,51208,6298,22150,3245,30671,1182,565,1
0,64,60,253222,12032,2317,15645,3158,24806,806,1041,1
0,57,53,166100,31934,5961,11752,4130,12237,4533,880,1
0,57,51,2022899,392980,59491,317889,34466,517046,43071,15598,1
0,57,41,1264972,298113,34800,19544,34537,145930,2924,2191,1
26,57,41,675632,8288,3286,14511,8002,20913,994,754,1
26,57,41,359188,47050,14710,10756,16206,27964,712,431,1
0,53,29,657150,236201,5147,57838,2155,129946,7576,1900,1
0,66,29,1336204,54251,25199,65203,44151,154648,6843,4604,1
26,66,29,315050,50921,9873,10818,10697,11495,4572,2856,1
26,66,29,459112,40657,353,12207,12289,28265,1015,273,1
0,61,26,128760,32174,2173,12903,797,18006,1945,669,1
0,64,35,905710,130383,18873,43855,37138,114909,6584,1181,1
0,70,38,80007,22715,2196,14530,6678,38360,769,767,1
0,70,35,189807,13625,3659,10080,7819,30129,2107,452,1
0,70,48,1770125,134043,145821,145161,41107,143589,140183,10395,1
0,64,47,1055434,820640,37964,201178,73980,372201,31370,13757,1
26,64,47,1678168,176492,8738,62672,12456,51808,18954,3740,1
26,64,47,490848,58525,3322,7352,13122,29641,1092,671,1
0,43,60,885792,145523,45166,115188,2724,20484,15435,1787,1
0,43,67,132158,6391,6443,15943,1151,31192,379,669,1
0,38,54,929387,276003,37571,76489,31523,66147,5957,2908,1
0,43,74,1418133,13499,19333,55085,12375,49734,19725,3687,1
0,54,81,227906,3943,5517,22052,1460,8067,9736,1214,1
26,54,81,336666,8567,3446,6017,5317,8126,8035,362,1
26,54,81,2266511,181926,21434,44308,13183,151371,12573,1734,1
0,53,70,151392,26484,7167,8134,1393,37543,1738,433,1
26,53,70,491316,34217,4716,12038,4245,24118,1850,1222,1
26,53,70,496961,15613,972,11969,8064,27248,578,470,1
0,44,67,2939022,860656,41748,165914,26103,83563,255056,8550,1
0,35,53,125223,41727,5067,9705,8009,9952,7422,767,1
0,30,29,433272,250148,34980,49139,31408,52520,21520,3357,1
26,30,29,762664,50668,25741,17494,3988,3600,3630,900,1
26,30,29,770094,33471,7662,23638,4888,3152,12529,1470,1
0,30,41,869164,38046,34640,104493,5119,179830,3587,3027,1
26,30,41,114145,4035,4012,2691,4065,7204,732,2800,1
0,47,51,198280,17682,13195,10228,9608,21056,905,1097,1
0,43,47,2058040,160337,6021,30136,31115,21793,62664,3679,1
26,43,47,310810,41234,4458,20935,4310,38601,1390,1047,1
0,54,50,1090282,86692,11125,67495,18013,112666,7829,4261,1
0,44,51,155932,17460,1947,26616,9016,13960,4731,897,1
0,38,51,755828,105402,24698,52656,13965,33382,37393,2678,1
0,34,57,124353,92178,12558,17707,3653,7716,5611,792,1
0,14,61,2129776,904013,178595,374201,161056,96586,61069,11148,1
0,21,54,982011,122157,41377,73241,11234,156510,3832,1065,1
0,24,60,189509,30468,4114,38466,2651,21701,2680,568,1
0,38,67,244629,25323,8219,23477,10775,19901,4342,1150,1
0,48,63,299662,28080,6409,11223,17087,10993,1560,413,1
0,44,69,931151,58905,34356,78945,23971,67739,61152,1573,1
0,53,64,915855,87514,19331,96737,7272,148816,4065,2227,1
26,53,64,2175318,145953,51634,22666,52978,42667,21138,2443,1
26,53,64,32686,11560,1943,3366,227,5639,1033,265,1
0,50,67,885457,83835,35012,76796,14516,45446,32450,12269,1
0,54,56,5576,15833,554,2424,330,7655,524,341,1
0,53,38,164325,80904,3782,11071,2127,34984,973,716,1
0,48,30,805362,87527,7597,41334,14278,55959,10795,5434,1
0,43,24,106353,164009,3785,76968,6177,32193,36938,4878,1
26,43,24,161483,118430,16827,25263,1923,42498,1221,606,1
0,27,48,816038,178575,118551,196118,54937,36104,53533,8566,1
26,27,48,128527,5737,1201,3197,3801,4397,707,241,1
0,34,56,1256288,145651,19471,48853,4293,138654,3988,1926,1
0,37,60,260812,36913,23729,17112,1878,43604,1191,501,1
0,35,50,1464013,490413,2545,78642,3204,66938,25252,4895,1
26,35,50,277351,4881,6443,29921,1694,14570,4860,1175,1
0,44,37,96888,34453,1501,15554,8719,11204,8272,608,1
26,44,37,53411,4330,1162,2477,1294,8674,549,202,1
0,51,37,162069,10304,2456,10164,3588,36532,1253,935,1
0,53,29,1415580,72971,4185,38638,14926,83417,6894,1082,1
0,67,41,298458,11607,4081,11376,5850,22880,1449,615,1
0,77,41,1177907,144314,34786,61239,5585,143299,7175,3409,1
0,70,51,808306,46692,35430,91326,19132,131018,9666,2781,1
26,70,51,177528,28558,1447,7824,23174,40248,1886,2010,1
0,63,60,471010,99452,19269,62201,6859,44560,21872,2588,1
26,63,60,340935,19520,2034,12173,1710,34235,560,844,1
0,50,51,2463550,261638,4837,60653,21845,49443,35145,4183,1
26,50,51,76905,6203,1996,5061,640,6999,265,168,1
0,43,48,841708,121765,7264,32870,11362,46539,28409,2641,1
0,43,47,404219,55978,32249,95952,11943,145343,8158,4658,1
0,54,40,280083,96014,8229,66891,20579,156736,3649,3073,1
0,63,48,1319872,143024,81001,41742,7450,124404,6232,4489,1
0,67,48,164478,39436,4290,11217,4150,30129,1500,825,1
0,70,44,554869,34058,9798,86659,11208,151949,6833,5436,1
26,70,44,139178,31670,13875,2237,16751,43676,2861,642,1
26,70,44,495920,55785,7640,10617,9014,13383,5446,320,1
0,61,50,220349,22005,3609,10741,3336,8498,8732,416,1
0,60,44,39406,63520,9538,18503,516,37074,1007,463,1
0,63,41,293387,31627,1339,11278,9602,35934,1107,396,1
26,63,41,151917,14563,2662,1719,2408,8845,143,143,1
0,47,44,1242237,143036,27205,83337,5608,32530,18193,3132,1
0,47,53,80185,14644,5707,22448,4921,10902,10043,1401,1
0,51,60,1133582,53920,32054,74541,23651,142512,5469,5618,1
0,54,66,47312,19573,1689,15433,5164,39877,2160,719,1
0,57,54,273758,158855,10136,44308,20662,52969,27384,2342,1
26,57,54,236202,92395,10905,21046,8644,19370,2138,660,1
0,69,50,313982,39372,18626,106345,21579,158444,2891,2446,1
0,64,44,716758,164975,26778,74363,22743,135548,5187,3361,1
0,50,47,189807,198923,7297,77709,2714,47521,33664,3855,1
26,50,47,77346,2660,870,7105,1118,5437,197,268,1
0,44,37,635179,255500,14393,10342,30071,38132,10124,4527,1
0,41,29,737982,130532,23638,98962,22736,176439,2709,3375,1
0,47,29,347587,24727,5715,14080,4480,35091,630,604,1
26,47,29,144044,9039,795,2600,622,7849,186,168,1
0,51,20,1357336,827822,17192,151132,214240,307872,53885,19029,1
0,41,34,294087,964743,27476,296496,21511,56766,66606,8012,1
0,24,29,234095,1289642,186534,181191,72599,119942,50625,11646,1
0,10,21,937292,237797,33445,14378,31364,37195,17061,4510,1
0,1,54,1596196,183744,145575,949185,36623,96175,71995,26502,1
0,11,53,2274991,272103,10683,92310,15794,68789,11990,6722,1
26,11,53,49951,15706,577,3740,1441,4634,1049,130,1
0,13,60,543558,264430,22607,143155,10197,39830,19309,2394,1
0,21,54,136766,125321,4688,16658,10050,56996,2327,1267,1
0,29,35,1435430,216510,25200,117175,13137,80330,12727,3372,1
26,29,35,163408,4045,627,3965,5167,5715,1776,527,1
26,29,35,127740,50361,16484,37778,3803,13625,9193,1474,1
26,29,35,429517,69882,12620,18610,4189,51221,655,1617,1
26,29,35,105561,2837,1938,3579,2402,7136,1289,997,1
26,29,35,684789,69870,5407,23758,2194,11227,5543,1399,1
26,29,35,128658,1988,459,5384,1431,3381,2036,204,1
0,40,34,1209600,229276,9410,104046,8637,215552,2836,3703,1
26,40,34,153171,26603,18376,14359,2379,38399,3130,596,1
26,40,34,107086,3865,4566,6860,2004,4690,613,203,1
26,40,34,863424,12053,15395,15754,6533,14438,4743,675,1
26,40,34,659671,39958,19551,2492,15434,15979,2223,598,1
0,54,26,90063,47210,3683,20386,2018,45564,1692,726,1
0,64,37,366494,12679,2389,13905,3204,36627,782,1093,1
0,75,40,590749,22285,12091,96004,14042,120603,7282,2882,1
26,75,40,505603,23390,3966,5701,22924,13183,9553,780,1
26,75,40,507929,10952,1236,23191,2761,29827,851,1175,1
0,69,41,180315,61525,6045,20346,2940,26168,1545,1724,1
