connection,attention,meditation,delta, theta, low alpha, high alpha, low beta, high beta, low gamma, high gamma, id
0,23,78,575749,126982,19849,204842,6738,48070,36120,11729,1
26,23,78,86043,12372,2960,6511,3155,10291,959,530,1
26,23,78,702024,40107,1558,39407,5142,37387,1220,925,1
26,23,78,321707,70706,10474,28170,4107,55476,2308,1014,1
0,13,80,1903285,166520,82970,92490,21814,48595,32995,5268,1
26,13,80,265820,65857,6883,54903,702,26917,3554,1024,1
0,14,77,1125925,420796,19544,222731,9011,221551,9377,10388,1
26,14,77,701902,84513,4645,41340,2204,83055,2586,2987,1
26,14,77,164337,8363,13158,4104,6211,5285,4247,658,1
0,24,90,460005,202219,61270,191217,17407,133054,4354,7074,1
26,24,90,112655,75029,12113,66459,2491,40014,1405,2891,1
26,24,90,370547,83275,9720,31236,12392,62234,2268,1716,1
26,24,90,69118,10290,7555,16832,11066,20459,8228,1326,1
26,24,90,100761,147597,3675,52915,4987,34292,953,1740,1
26,24,90,1619270,697516,68061,142926,39698,65405,35119,11379,1
26,24,90,252943,37931,11566,37468,5275,13913,9801,5858,1
26,24,90,24104,21478,975,7607,496,18527,500,121,1
0,23,75,1073565,1623745,126037,541410,116391,278176,189420,17994,1
26,23,75,238475,29635,7638,37611,3368,36587,2741,4016,1
26,23,75,1714810,101105,20998,92938,18384,37008,72522,7441,1
0,26,69,1276910,260482,15351,143045,17831,71344,49690,5969,1
26,26,69,31493,28830,1377,3321,1014,5943,4327,1225,1
0,20,61,561394,736767,47728,138235,13826,134686,10321,4683,1
0,16,54,543050,340407,21142,162231,7776,101233,19960,4224,1
26,16,54,140688,59749,16807,53891,6020,57801,1727,2865,1
26,16,54,18793,12480,2306,9635,1997,15959,1073,344,1
26,16,54,285552,78344,9073,68336,4370,39826,2025,2781,1
0,21,63,77402,69557,6287,53152,5801,26293,988,2908,1
26,21,63,284331,50769,9280,38073,2743,15368,14716,2447,1
26,21,63,552931,111576,19849,10177,39183,17843,10654,5828,1
26,21,63,102611,39482,410,7374,1073,15307,2216,1237,1
0,24,63,1784453,248082,32271,157615,15254,118126,17998,7927,1
0,16,80,1068366,815740,237707,668556,78473,103376,223671,30176,1
26,16,80,318744,95452,9081,52371,3874,62442,1257,2560,1
26,16,80,199321,133420,3694,33233,7303,55842,2349,1206,1
26,16,80,422562,72951,14961,31594,3662,48023,1366,2320,1
0,17,77,66970,105778,6092,35395,1147,31879,3063,884,1
26,17,77,2810754,206725,75023,100132,59666,34984,62859,3133,1
26,17,77,910668,64004,8430,13749,7273,31636,3177,4323,1
26,17,77,128169,8803,4076,4275,5839,5550,4394,1011,1
0,14,70,1459430,1190518,59528,559274,17188,237783,71048,17447,1
0,8,77,52889,75192,4105,66262,1954,19328,1218,3093,1
26,8,77,554219,46772,3745,35344,3421,54020,1573,2809,1
26,8,77,144926,81479,23115,36625,1499,60438,1687,1552,1
26,8,77,86880,8698,5349,4710,5220,5816,1260,631,1
26,8,77,260475,55517,16930,34640,3822,36661,1996,2118,1
26,8,77,104646,51626,4089,96078,3775,59682,2984,2509,1
26,8,77,502760,88635,5898,24769,4493,76173,3331,2166,1
26,8,77,182109,5519,2157,5053,7321,8349,6773,3855,1
26,8,77,1152809,365613,19470,263762,22897,88236,7139,10350,1
0,13,60,1355842,357846,21445,75677,61941,42974,13611,5564,1
0,23,67,1008121,155258,32108,165680,7495,197599,11954,13403,1
26,23,67,42709,16931,877,5205,2647,14579,599,331,1
26,23,67,146037,21854,3005,10773,2312,11749,8180,1648,1
0,27,81,811733,75543,35204,193863,19223,63131,16741,5821,1
26,27,81,80813,30544,14389,70321,3271,63951,1098,2677,1
26,27,81,936200,44872,7526,47872,5526,35615,4339,5604,1
26,27,81,150357,2744,7288,3112,6779,6760,3648,1270,1
26,27,81,976365,318584,47162,177996,65271,48695,18111,7256,1
26,27,81,213542,62450,17528,18768,7700,25419,7387,1090,1
26,27,81,291512,7545,6375,30984,2439,67868,1727,3073,1
26,27,81,77688,267058,7161,48016,4524,50153,2969,1739,1
26,27,81,441889,197024,16633,36942,2835,40766,3720,2300,1
26,27,81,414957,30726,5859,26456,16769,34328,6417,3012,1
26,27,81,283147,100141,1521,55378,1040,32384,929,1957,1
26,27,81,1254090,300318,41838,120301,22497,297093,3985,3822,1
26,27,81,281741,95818,3480,63667,2938,60190,2189,1268,1
0,34,80,112474,69588,16897,44663,2969,35960,1595,1933,1
0,66,74,93812,1760,955,3600,6357,32691,1081,278,1
0,63,69,962296,203200,66927,130207,12440,219126,8889,4650,1
0,70,48,123442,83062,9032,25955,2410,72101,2295,1182,1
26,70,48,1099215,230750,9841,177445,12168,222663,8992,5315,1
26,70,48,689348,203414,36930,191311,18232,57631,15505,7744,1
0,75,41,1142908,198688,15302,128937,33928,147984,2363,6451,1
0,61,56,1367850,119004,28332,121752,28902,289395,12940,13827,1
26,61,56,178750,69766,15229,46528,549,50061,1792,2110,1
26,61,56,1425873,874194,99915,167875,7446,87121,33631,5379,1
0,53,60,837452,208541,28844,149756,17817,67781,35719,7562,1
26,53,60,81701,6339,2075,5350,1666,8533,689,310,1
26,53,60,888287,40973,9719,13206,20628,45907,4909,3982,1
26,53,60,181086,90339,9673,24458,2292,60839,1386,2591,1
0,40,57,516162,678730,19989,155133,31573,111827,4986,7051,1
26,40,57,725280,365249,34859,106254,45183,39219,17902,7036,1
26,40,57,297841,47460,7666,52178,2498,51460,1323,1796,1
26,40,57,394583,85148,12112,30509,3395,63535,2051,1001,1
0,38,67,2320643,73547,4629,166286,29198,98106,87340,3211,1
0,26,67,88497,81082,4673,39040,3985,33948,4954,1034,1
0,30,74,1472970,82588,18587,117457,9124,64124,11812,5464,1
26,30,74,587616,113717,14831,31884,17165,34184,6171,3660,1
26,30,74,205355,14661,837,6151,1241,9607,1855,1545,1
26,30,74,712617,171393,14943,39926,3997,30556,7383,943,1
0,26,90,1382939,313536,105265,201793,15150,49650,25135,5590,1
26,26,90,1608639,253008,5730,128205,45798,304739,8831,11911,1
26,26,90,279856,83436,11411,95176,2331,52698,4800,1087,1
26,26,90,196995,25590,2872,55369,2263,19207,3713,2133,1
0,27,81,1078595,115052,20447,80739,13339,99649,9025,3367,1
26,27,81,159678,49354,12716,28205,4784,56375,984,1441,1
26,27,81,181143,55832,12150,48254,5954,58479,1899,966,1
26,27,81,463690,71598,10369,20649,7371,39931,2127,1460,1
0,20,80,763691,1851064,69243,631839,80506,235950,146750,45240,1
26,20,80,105201,6363,11763,16356,3483,6264,776,1774,1
26,20,80,1838002,208272,25709,167254,72772,112954,80937,9197,1
26,20,80,74938,21193,1386,7533,1129,14462,661,476,1
26,20,80,780582,125646,12911,36656,9682,28901,5426,1017,1
0,11,87,610103,130220,20351,250401,6223,49070,25976,7902,1
26,11,87,265112,120850,26602,37049,7470,15113,17341,1598,1
26,11,87,11024,28820,4912,15647,492,12420,361,465,1
26,11,87,557379,580692,26645,89529,11594,116649,2946,7273,1
0,13,70,963034,548954,22540,125431,6684,63543,21412,6601,1
26,13,70,224301,130651,1513,36706,1067,66112,2219,1875,1
26,13,70,11941,25144,1929,7371,1146,17401,436,257,1
26,13,70,2277108,323246,54868,189578,4769,56893,37240,9961,1
26,13,70,2060777,325774,28867,158798,11320,84017,3724,5224,1
26,13,70,404014,26211,817,34312,3942,12025,3215,3643,1
26,13,70,282644,17141,5336,26114,6627,51042,1174,1508,1
26,13,70,145006,22229,4904,5779,5498,6730,6521,4455,1
0,4,64,386156,559650,22820,147633,13099,135111,7347,6243,1
26,4,64,361115,115533,14461,22148,2905,28879,1079,2028,1
26,4,64,971581,149587,31715,94831,13773,276583,17292,8698,1
26,4,64,5762,21946,1032,11373,1223,12305,365,412,1
26,4,64,315236,8173,5577,27924,4396,25363,935,1494,1
0,13,69,75794,106373,19728,50877,3423,38550,1085,1692,1
26,13,69,154481,46338,13490,64583,2555,51150,1757,1549,1
26,13,69,133952,19414,4563,8742,2807,17554,2056,1047,1
26,13,69,217868,125159,5928,33793,4171,44795,3612,2025,1
26,13,69,703193,139036,4092,33840,5919,13030,6455,1036,1
0,23,54,872223,207385,21866,112714,23022,124560,9185,4931,1
26,23,54,458121,47269,11255,38867,2417,43155,2496,1291,1
26,23,54,126797,18319,3463,8905,2044,7679,1255,551,1
26,23,54,856560,80858,21062,46780,2060,18042,7567,962,1
0,38,44,57656,28442,5250,1297,9280,18697,1157,741,1
26,38,44,175315,85927,4962,39431,2592,56688,2598,939,1
26,38,44,82437,233663,4465,30235,5410,64488,1785,1414,1
26,38,44,2045560,809758,8914,101459,11879,61175,34297,4495,1
26,38,44,678058,8059,15683,19816,2879,10413,9537,1548,1
26,38,44,297431,12970,4337,28342,2412,37471,8441,6887,1
26,38,44,249496,77098,5050,24558,6555,63800,4569,2076,1
26,38,44,204405,8030,1856,5714,1578,3045,4270,1366,1
26,38,44,2031828,241672,58598,94600,17631,66382,15675,8477,1
0,34,53,1371026,211161,45702,100458,11156,33308,46659,3102,1
26,34,53,188617,58356,35964,38477,1243,48099,1310,801,1
26,34,53,114503,11006,2101,6916,267,11293,639,588,1
0,29,47,1127062,415631,47442,80775,16852,91678,19423,4061,1
0,30,56,135749,8877,6904,18427,1498,15813,3752,858,1
0,27,70,225673,60645,1915,33967,7011,33922,2948,1605,1
26,27,70,126625,19446,1441,5930,759,10249,293,299,1
26,27,70,763369,40179,16103,35654,3091,21515,21456,3428,1
26,27,70,1505260,153255,17049,82572,21820,48833,28831,9194,1
26,27,70,313915,33694,12902,30066,3661,57169,3238,1710,1
26,27,70,73770,59662,631,36706,3171,41000,7750,1223,1
0,30,66,1211157,288215,35826,101509,9359,63068,11820,8053,1
0,29,74,15510,56509,9856,26116,7622,10905,9719,1498,1
0,20,67,273206,186981,50294,110526,12500,49340,44834,2776,1
0,17,61,101615,102824,3347,30618,2945,50873,5055,1326,1
0,26,69,365109,38846,5539,44888,1779,31580,1812,519,1
0,24,84,130950,26710,8538,64392,2637,9717,14250,1399,1
0,40,80,123642,25306,2197,25180,3661,48980,1204,668,1
26,40,80,548289,72178,4317,15670,3592,53984,2708,1987,1
26,40,80,571177,11691,2749,21785,2704,39909,2431,1544,1
0,38,100,1082657,46745,60811,108862,10095,63151,4487,3581,1
0,35,91,1273675,137432,7138,61104,30935,51243,34530,13463,1
26,35,91,774113,18512,2191,30720,3565,11080,7160,789,1
26,35,91,334508,12260,8427,5224,17069,42194,1098,2137,1
26,35,91,149033,79203,12202,27789,6052,28542,3298,1422,1
0,43,88,401823,44113,89946,54352,26704,44695,38145,7512,1
26,43,88,989553,209482,35565,74251,41176,28363,41290,8905,1
26,43,88,215725,30899,6824,13961,7348,42583,2443,939,1
26,43,88,271086,7263,8025,6150,1354,8204,1385,1602,1
0,34,100,98033,15394,9279,32245,4901,15386,12093,1019,1
0,17,81,852128,525355,26053,137286,12781,36883,20562,8422,1
26,17,81,103101,5263,1073,2644,2358,9824,2053,861,1
26,17,81,696803,77227,8494,20621,4638,38820,1404,1197,1
0,14,84,548880,71692,4561,30033,1220,17900,6218,699,1
0,16,77,237373,139155,42214,118950,10121,84461,13073,9578,1
26,16,77,158578,81212,11342,9241,5038,22304,2788,2605,1
0,21,69,201968,17451,2585,26020,1466,22622,2035,1928,1
26,21,69,130157,5026,779,3448,1178,1130,979,203,1
0,24,81,957418,138660,34080,105165,32536,26458,20324,1929,1
0,37,77,546216,188110,28421,75178,9166,197726,12565,3038,1
0,48,70,261477,15813,3789,23684,2102,44182,1194,657,1
26,48,70,633209,56563,3856,10188,2873,20041,3470,1758,1
26,48,70,41577,15952,2799,5965,626,6859,389,281,1
0,48,70,30857,21481,7217,26847,1158,29924,1139,1367,1
0,51,51,1068366,515407,16555,67299,9319,71866,29930,4867,1
0,47,54,364918,64842,6227,25802,3795,34439,1112,801,1
0,43,56,138248,12755,1922,17787,3205,24137,983,1111,1
26,43,56,217867,8680,2856,21784,2535,37701,602,566,1
0,44,41,389103,193820,1545,66934,6032,164522,4302,3543,1
0,57,53,199655,23207,3262,15950,2088,24838,713,878,1
0,64,60,347743,50667,17489,67001,7305,118083,12250,2009,1
0,48,66,236038,29348,13113,22030,3091,6190,10512,866,1
0,44,66,180556,69101,5156,16262,1465,40727,1427,560,1
0,35,61,76994,88511,6681,21340,1983,23421,3812,1639,1
26,35,61,299798,34423,10230,858,12562,16790,3560,608,1
0,20,57,40274,63203,9313,21791,6580,13498,4636,480,1
0,38,30,1735859,189876,4766,29070,23338,165354,4476,2416,1
26,38,30,426554,19290,2978,13992,1029,30153,1360,1076,1
0,47,40,405340,37399,7822,49596,1909,109157,13150,4458,1
0,41,37,732990,318972,26893,47533,14624,42011,18938,4110,1
0,53,30,1034311,198313,47718,46992,18642,163139,2970,1656,1
26,53,30,136935,2835,1840,4632,483,6777,116,160,1
0,47,51,193357,34595,3774,24734,465,25265,1323,1301,1
0,27,48,245289,47873,615,17678,1951,8694,5998,545,1
26,27,48,265919,26487,4644,15785,5221,29572,702,548,1
26,27,48,162347,14580,3100,3779,15392,27769,849,1357,1
0,37,47,732963,163915,7562,43050,22809,62476,20253,3501,1
0,41,56,296311,10143,10859,15125,2205,32759,739,532,1
26,41,56,445133,28471,8638,18700,2771,32504,627,1172,1
26,41,56,56329,3963,1013,4587,795,6723,254,354,1
0,41,50,824257,229647,24826,78080,11938,137932,6271,2515,1
0,47,50,2675399,548107,106654,131467,95881,147734,169365,17165,1
26,47,50,621891,27358,9781,6202,7089,28201,792,1245,1
0,53,60,148133,27163,14199,17355,4484,39671,385,714,1
0,34,56,322322,38672,20674,5621,18135,5998,6267,1276,1
26,34,56,291628,40651,12201,23547,1374,23928,1469,716,1
26,34,56,366086,18859,5570,33548,8043,47207,1159,1159,1
0,34,48,235925,66093,1619,13662,6904,33826,832,905,1
0,47,48,75866,17139,9051,7856,9158,32725,1214,671,1
0,27,44,1724894,680958,24620,246309,18772,77014,106105,11220,1
0,34,23,316206,105234,4520,3719,23112,15996,999,606,1
0,34,37,1543121,125201,12327,69660,11259,84497,5000,2531,1
26,34,37,195362,34919,5199,23797,1630,26585,2017,1689,1
26,34,37,713518,17558,3903,15919,1248,11922,3288,571,1
0,29,35,816608,139786,20021,61135,5004,148995,8558,2436,1
26,29,35,157520,101810,9596,3223,19805,43588,2839,748,1
0,41,35,49742,35524,2700,20679,7859,17567,2114,893,1
26,41,35,129375,2989,440,632,1936,7527,605,156,1
0,50,57,717442,23474,6563,25485,24085,22172,41922,3278,1
0,60,41,1684231,85661,17529,13144,53630,167751,2884,5360,1
26,60,41,625385,49648,10133,16934,934,25947,683,587,1
0,63,50,161370,7959,3773,18257,2635,31845,1600,1611,1
0,60,44,2036661,783306,23086,276225,120263,225744,45559,16159,1
26,60,44,514348,44175,8507,14152,1950,32390,1503,611,1
26,60,44,111565,2223,985,1690,1928,7476,104,169,1
0,61,41,105507,32070,7155,15231,1451,28144,1264,848,1
0,54,53,111569,19461,5851,6389,5007,18560,3681,1647,1
0,51,54,401976,77047,15891,100480,3162,146699,9076,4896,1
26,51,54,258565,16594,744,6347,14944,40884,907,1535,1
26,51,54,21411,10414,150,3173,1098,3528,1067,119,1
0,48,57,3329787,666478,160966,178581,96482,142343,181172,9674,1
0,56,57,2231209,257465,38725,226715,30794,615947,26812,13215,1
0,63,61,123681,9946,2709,14380,6521,36702,1066,898,1
0,43,64,679652,194246,39288,118639,20113,29716,41082,4930,1
0,53,57,353345,66562,9959,13033,1932,34583,1015,1334,1
0,44,74,81870,19845,3027,58966,2789,31801,2507,1851,1
26,44,74,38141,29418,423,6439,576,11708,383,217,1
0,41,78,1958645,275241,148925,378704,45647,693934,23571,31084,1
0,43,78,780052,201091,16842,135414,13571,40115,58887,4120,1
26,43,78,1000273,303691,29043,125374,3432,206495,11946,4306,1
26,43,78,74556,152840,5085,23134,2469,47313,4069,435,1
26,43,78,818300,85252,959,26695,1235,19591,1353,832,1
26,43,78,1261565,3839,13690,11820,5242,6371,7977,4834,1
0,47,81,1310101,252645,44722,94194,15705,208544,14116,3738,1
